Headline,Link,Date,"Categories (comma separated)","Locations (; separated)","Lat/Lon pairs (; separated)"
"7 Catholic religious sisters from Livonia convent dead of coronavirus",http://healthmap.org/ln.php?7309687,"2020-05-07 10:21:04","COVID-19 Case Clusters","Livonia, Michigan","42.368370,-83.352707"
"May 7 morning update: The latest on the coronavirus and Maine &#8212; State &#8212; Bangor Daily News &#8212; BDN Maine",http://healthmap.org/ln.php?7309724,"2020-05-07 10:38:24","COVID-19 Case Clusters","Portland, Maine","43.661469,-70.255333"
"'I waited as long as I can’: Alabama restaurant reopens despite COVID-19 order - AL.com",http://healthmap.org/ln.php?7309941,"2020-05-06 20:48:05","Business Reopening","Cullman County, Alabama","34.131939,-86.867622"
"Coronavirus live updates: White House reportedly shelved CDC reopening plans; 3.2M jobless claims; students get Daytona 500 graduation - USA TODAY",http://healthmap.org/ln.php?7309950,"2020-05-07 10:21:59","Business Reopening","Hawaii; Montana","20.750200,-156.500305; 47.010201,-109.731499"
"Customers shot 2 McDonald's employees after being told to leave due to coronavirus restrictions - CNN",http://healthmap.org/ln.php?7310110,"2020-05-07 11:25:32","Lockdown / Shelter in Place","Oklahoma City, Oklahoma","35.467560,-97.516434"
"Coronavirus updates, Wednesday: Oregon state parks to slowly reopen; Trump team may wind down task force - News - The Register-Guard - Eugene, OR",http://healthmap.org/ln.php?7310236,"2020-05-07 12:10:19","Business Reopening",Oregon,"43.992802,-120.498100"
"Coronavirus in Oregon (May 6): Site of deadliest outbreak ordered to shut down - oregonlive.com",http://healthmap.org/ln.php?7310237,"2020-05-07 12:12:13","Business Reopening","Oregon; Portland, Oregon","43.992802,-120.498100; 45.523453,-122.676208"
"Latest on COVID-19 in MN: Deaths top 500; total cases cross 9K - Minnesota Public Radio News",http://healthmap.org/ln.php?7310409,"2020-05-07 06:30:00","COVID-19 Case Clusters","Nobles County, Minnesota","43.666634,-95.766960"
"FDA authorizes CRISPR-based test for COVID-19 - The Verge",http://healthmap.org/ln.php?7310545,"2020-05-07 11:29:30","Mass Testing","United States","39.966930,-97.556099"
"U.S. Field Hospitals Stand Down, Most Without Treating Any COVID-19 Patients - NPR",http://healthmap.org/ln.php?7310765,"2020-05-07 14:53:37","Healthcare Facility","United States","39.966930,-97.556099"
"Hundreds on COVID-19 frontlines file workers' compensation claims in Washington - KING5.com",http://healthmap.org/ln.php?7311030,"2020-05-07 01:00:00","Healthcare Worker",Washington,"47.500118,-120.501472"
"Augusta firefighter tests positive for COVID-19, prompting quarantine of others - Kennebec Journal & Morning Sentinel",http://healthmap.org/ln.php?7311286,"2020-05-07 12:05:00","Healthcare Worker","Augusta, Maine","44.310619,-69.779488"
"OSHA investigating complaints that Maine barbershops opened without gloves, masks - Press Herald",http://healthmap.org/ln.php?7311692,"2020-05-07 13:35:00","Business Reopening",Maine,"45.490898,-69.257896"
"Questions and answers on COVID-19 testing - Portland Press Herald - Press Herald",http://healthmap.org/ln.php?7311698,"2020-05-07 16:45:00","Mass Testing",Maine,"45.490898,-69.257896"
"Coronavirus Reopenings Raise Ethical Dilemmas - The New York Times",http://healthmap.org/ln.php?7311813,"2020-05-07 20:57:03","Business Reopening",California,"37.250198,-119.750298"
"OSHA investigating complaints that reopened salons, barbershops aren't protecting workers - Press Herald",http://healthmap.org/ln.php?7311919,"2020-05-07 13:35:00","Business Reopening",Maine,"45.490898,-69.257896"
"Coronavirus Pennsylvania: Gov. Wolf Extends Stay-At-Home Order In Philadelphia Region Through June 4 - CBS Philly",http://healthmap.org/ln.php?7311927,"2020-05-07 21:22:32","Lockdown / Shelter in Place","Philadelphia, Pennsylvania","39.951801,-75.163002"
"As Indiana Reopens, COVID-19 Data Shows State Hasn’t Met Key Guidelines Set By Health Experts - CBS Chicago",http://healthmap.org/ln.php?7312083,"2020-05-07 16:34:43","Business Reopening",Indiana,"40.010700,-86.264702"
"‘It’s Horrifying’: Nurse From Allegheny Co. Who Had Coronavirus Released From Hospital After Developing Pneumonia - CBS Pittsburgh",http://healthmap.org/ln.php?7312089,"2020-05-07 19:15:30","Healthcare Facility",Pennsylvania,"40.930099,-77.475601"
"Longmont’s Peaks Care Center: 14 residents have died from coronavirus, more than CDPHE reports - Longmont Times-Call",http://healthmap.org/ln.php?7312422,"2020-05-07 18:26:08","Elder Care","Longmont, Colorado","40.167210,-105.101929"
"State investigates 31 facilities in Brown County as COVID-19 cases exceed 1,700, with 12th death - Green Bay Press Gazette",http://healthmap.org/ln.php?7312555,"2020-05-07 19:28:57","Elder Care","Brown County, Wisconsin; Milwaukee County, Wisconsin","44.466660,-87.966766; 43.000568,-87.966751"
"Memphis restaurants permanently closed due to COVID-19 pandemic - Commercial Appeal",http://healthmap.org/ln.php?7312559,"2020-05-08 02:06:54","Business Closure","Memphis, Tennessee","35.149532,-90.048981"
"Photos: Inside one Boston hospital's response to Covid-19 - STAT",http://healthmap.org/ln.php?7312748,"2020-05-07 09:04:31","Healthcare Facility","Brigham and Women's Hospital, Boston, Massachusetts","42.336025,-71.106033"
"Visitors rushed to Georgia as businesses reopened, says University of Maryland study - CNN",http://healthmap.org/ln.php?7312965,"2020-05-08 04:24:58","Business Reopening",Georgia,"32.731800,-83.496101"
"Tensions and backlash as US coronavirus reopenings bring changes - CNN",http://healthmap.org/ln.php?7313112,"2020-05-08 06:54:54","Business Reopening","United States","39.966930,-97.556099"
"Ohio nursing home COVID-19 cases, deaths continue to climb",http://healthmap.org/ln.php?7313123,"2020-05-08 07:21:47","Elder Care","Ohio; Franklin County, Ohio; Lucas County, Ohio; Cuyahoga County, Ohio; Mahoning County, Ohio; Summit County, Ohio; Stark County, Ohio","40.245899,-83.012703; 39.966732,-83.016571; 41.650051,-83.666603; 41.433388,-81.666519; 41.033394,-80.766464; 41.116722,-81.533173; 40.816719,-81.366501"
"New positive COVID-19 case at Gallatin  nursing home after 23 deaths | WKRN News 2",http://healthmap.org/ln.php?7313124,"2020-05-08 07:23:50","Elder Care","Gallatin, Tennessee","36.388378,-86.446663"
"COVID-19 Infection Totals, Deaths In Parsippany Nursing Homes  | Parsippany, NJ Patch",http://healthmap.org/ln.php?7313125,"2020-05-08 07:24:46","Elder Care","New Jersey; Parsippany, New Jersey","40.178799,-74.355499; 40.857880,-74.425987"
"Hospital Ship Mercy No Longer Treating Patients, Remains in LA for COVID-19 Support - USNI News",http://healthmap.org/ln.php?7313282,"2020-05-07 16:59:00","Healthcare Facility","Los Angeles, California","34.052200,-118.242798"
"5 things to know for May 8: Coronavirus, economy, race, Michael Flynn, Ahmaud Arbery - CNN",http://healthmap.org/ln.php?7313286,"2020-05-08 06:24:51","Business Reopening","United States","39.966930,-97.556099"
"What I saw at the Javits Center's Covid-19 hospital - CNN",http://healthmap.org/ln.php?7314092,"2020-05-08 10:45:51","Healthcare Facility","New York State","43.004601,-75.498100"
"Coronavirus in NYC: Restaurants That Have Closed Permanently Due to the Pandemic - Eater NY",http://healthmap.org/ln.php?7314347,"2020-05-08 10:11:27","Business Closure","New York City, New York State","40.713902,-74.003998"
"Nursing homes, veterans' homes are epicenters of Covid-19 - STAT",http://healthmap.org/ln.php?7314660,"2020-05-08 04:48:03","Elder Care","Illinois; Massachusetts; New Jersey; Washington State","40.010700,-89.252998; 42.399101,-71.795700; 40.178799,-74.355499; 47.487499,-120.498100"
"Coronavirus live updates: Pence staffer tests positive for virus; US economy lost 20.5M jobs in April; states take big reopening steps - USA TODAY",http://healthmap.org/ln.php?7314667,"2020-05-08 13:00:48","Business Reopening","United States","39.966930,-97.556099"
"Coronavirus: Gov. Kay Ivey to loosen restaurant, hair salon, gym restrictions - Montgomery Advertiser",http://healthmap.org/ln.php?7314668,"2020-05-08 14:08:55","Business Reopening",Alabama,"32.731800,-86.748100"
"'It's a miracle she didn't die.' After 55 days in hospital, Sparrow's first COVID-19 patient goes home - Lansing State Journal",http://healthmap.org/ln.php?7314831,"2020-05-08 14:05:47","Healthcare Facility","Sparrow Hospital - Lansing, Michigan","42.720982,-84.607735"
"Tony Evers unveils COVID-19 guidelines for businesses; official reopening of economy remains uncertain - Madison.com",http://healthmap.org/ln.php?7314835,"2020-05-08 15:00:00","Business Reopening",Wisconsin,"44.496498,-90.000000"
"Mills announces accelerated reopening for retail stores, restaurants in 12 rural counties - Press Herald",http://healthmap.org/ln.php?7314995,"2020-05-08 12:02:00","Business Reopening",Maine,"45.490898,-69.257896"
"Live updates: More than 20 million jobs vanished in April; Pence staffer tests positive for coronavirus - The Washington Post",http://healthmap.org/ln.php?7315355,"2020-05-08 18:53:26","Business Reopening","United States","39.966930,-97.556099"
"Delaware's COVID-19 cases exceed 6,000 on Friday as state begins partial reopen - The News Journal",http://healthmap.org/ln.php?7315497,"2020-05-08 19:38:46","Business Reopening",Delaware,"38.993500,-75.498100"
"Inslee: Retail curbside pick-up now OK as state moves to recover from COVID-19 - KOMO News",http://healthmap.org/ln.php?7315633,"2020-05-08 17:03:00","Business Reopening",Washington,"47.500118,-120.501472"
"Staten Island hospital nurse accused of stealing, using credit card from her dying Covid-19 patient - CNN",http://healthmap.org/ln.php?7316141,"2020-05-08 22:36:17","Healthcare Facility","Staten Island, New York","40.583439,-74.149590"
"How a New Mexico hospital rebelled against its bosses as Covid-19 hit - The Guardian",http://healthmap.org/ln.php?7316197,"2020-05-07 14:56:00","Healthcare Facility","Rehoboth McKinley Christian Hospital, New Mexico","35.506611,-108.726479"
"Campgrounds To Reopen As San Diego Reports Highest Daily Coronavirus Case Numbers - KPBS",http://healthmap.org/ln.php?7316203,"2020-05-08 21:05:45","Business Reopening","San Diego County, California","33.033379,-116.800858"
"Maine small businesses forced to close or downsize during coronavirus pandemic - NewsCenterMaine.com WCSH-WLBZ",http://healthmap.org/ln.php?7316521,"2020-05-08 16:59:00","Business Closure",Maine,"45.490898,-69.257896"
"Florida releases updated numbers of COVID-19 deaths at senior care facilities - WFLA",http://healthmap.org/ln.php?7316611,"2020-05-08 23:04:00","Elder Care",Florida,"28.149500,-81.650398"
"Live updates: Florida and Mississippi move to reopen barbershops, salons; Pence aide tests positive - The Washington Post",http://healthmap.org/ln.php?7316711,"2020-05-09 06:39:46","Business Reopening","Florida; Mississippi","28.149500,-81.650398; 32.731800,-89.736397"
"Some coronavirus hot spots see rare good news as the nation debates over reopening - CNN",http://healthmap.org/ln.php?7316812,"2020-05-09 07:15:50","Business Reopening","United States","39.966930,-97.556099"
"State cites nursing home with dozens of COVID deaths for deficient infection control | kare11.com",http://healthmap.org/ln.php?7316847,"2020-05-09 08:05:52","Elder Care","New Hope, Minnesota","45.038021,-93.386620"
"COVID-19 deaths in California nursing homes continue to spike",http://healthmap.org/ln.php?7316860,"2020-05-09 08:06:45","Elder Care",California,"37.250198,-119.750298"
"Tracking the Coronavirus Death Toll in U.S. Nursing Homes",http://healthmap.org/ln.php?7316869,"2020-05-09 08:07:18","Elder Care","United States","39.966930,-97.556099"
"COVID-19 strike force tests employees of Dallas County nursing homes",http://healthmap.org/ln.php?7316875,"2020-05-09 08:08:03","Elder Care","Dallas County, Texas","32.766796,-96.783615"
"What you need to know about coronavirus on Saturday, May 9 - CNN",http://healthmap.org/ln.php?7316932,"2020-05-09 08:33:53","Business Reopening","United States","39.966930,-97.556099"
"Live updates: Florida, Mississippi move to reopen more businesses; coronavirus cases near 4 million worldwide - The Washington Post",http://healthmap.org/ln.php?7316933,"2020-05-09 08:49:26","Business Reopening","Florida; Mississippi","28.149500,-81.650398; 32.731800,-89.736397"
"Rose Liberto, North Carolina Nurse, Dies At 64 Of COVID-19 - NPR",http://healthmap.org/ln.php?7317155,"2020-05-09 07:59:00","Healthcare Worker","Charlotte, North Carolina","35.227085,-80.843124"
"COVID-19 cases in Virginia rise to 23,196 - WHSV",http://healthmap.org/ln.php?7317312,"2020-05-09 10:30:34","Healthcare Facility, Elder Care, COVID-19 Case Clusters","Luray, Virginia","38.665401,-78.459450"
"Coronavirus updates: White House pushes for airport screenings; judge rules Kentucky churches can hold services; World cases near 4 million - USA TODAY",http://healthmap.org/ln.php?7317456,"2020-05-09 10:54:56","Business Reopening",Kentucky,"37.439899,-84.462898"
"One-Third of All U.S. Coronavirus Deaths Are Nursing Home Residents or Workers - The New York Times",http://healthmap.org/ln.php?7317566,"2020-05-09 00:46:00","Healthcare Facility, Healthcare Worker, Elder Care","United States","39.966930,-97.556099"
"Live coronavirus updates: Health professionals express concern over Monday's release of care centers with COVID-19 - Milwaukee Journal Sentinel",http://healthmap.org/ln.php?7317844,"2020-05-09 14:43:10","Healthcare Facility, Elder Care",Wisconsin,"44.496498,-90.000000"
"Why the Increase in Domestic Violence During COVID-19? - Psychology Today",http://healthmap.org/ln.php?7317908,"2020-05-09 02:17:52","Business Closure","United States","39.966930,-97.556099"
"Over 20 Idaho beef plant workers sickened with coronavirus - KTVB.com",http://healthmap.org/ln.php?7318147,"2020-05-09 17:52:00","COVID-19 Case Clusters","Kuna, Idaho","43.491829,-116.420120"
"Second Wisconsin meatpacking worker dies of COVID-19; infections at food plants exceed 800 - Milwaukee Journal Sentinel",http://healthmap.org/ln.php?7318235,"2020-05-08 20:32:48","COVID-19 Case Clusters","Wisconsin; Milwaukee County, Wisconsin; Kenosha County, Wisconsin; Pleasant Prairie, Wisconsin","44.496498,-90.000000; 43.000568,-87.966751; 42.566689,-88.050079; 42.553082,-87.933411"
"Florida reports close to 700 coronavirus deaths at long-term care facilities - WFLA",http://healthmap.org/ln.php?7318353,"2020-05-09 16:20:00","Elder Care",Florida,"28.149500,-81.650398"
"Pennsylvania reports 72 new covid-19 deaths; total coronavirus cases now top 55K - TribLIVE",http://healthmap.org/ln.php?7318540,"2020-05-09 12:21:34","Elder Care",Pennsylvania,"40.930099,-77.475601"
"Five more Utahns die from the coronavirus - Salt Lake Tribune",http://healthmap.org/ln.php?7318654,"2020-05-09 19:59:59","Elder Care",Utah,"39.266201,-111.752998"
"Doctors at Wyoming's largest hospital grapple with the worst of the coronavirus - Casper Star-Tribune",http://healthmap.org/ln.php?7318828,"2020-05-09 22:06:55","Healthcare Facility","Wyoming Medical Center - Casper, Wyoming","42.314323,-106.626945"
"4 reasons coronavirus reopening plans may backfire — and soon - Vox.com",http://healthmap.org/ln.php?7319880,"2020-05-09 09:26:23","Business Reopening",Missouri,"38.238098,-92.504898"
"Pork Chops vs. People: Battling Coronavirus in an Iowa Meat Plant - The New York Times",http://healthmap.org/ln.php?7319881,"2020-05-10 06:28:29","COVID-19 Case Clusters","Waterloo, Iowa","42.492760,-92.342957"
"The Class of COVID-19: Rescinded offers, dashed dreams for Wisconsin college students - Madison.com",http://healthmap.org/ln.php?7319882,"2020-05-10 06:45:00","Business Closure",Wisconsin,"44.496498,-90.000000"
"COVID-19 cases in Virginia rise to 24,081 - WHSV",http://healthmap.org/ln.php?7319886,"2020-05-10 10:03:24","Elder Care","Harrisonburg, Virginia","38.449570,-78.868919"
"'F*ck Elon Musk': Democrat rebukes magnate over coronavirus restrictions row - The Guardian",http://healthmap.org/ln.php?7320075,"2020-05-10 11:40:42","Business Closure",California,"37.250198,-119.750298"
"Coronavirus in Florida latest: positive cases surpass 40,000 as residents return to the beaches - Tampa Bay Times",http://healthmap.org/ln.php?7320080,"2020-05-10 12:40:00","Elder Care, Business Reopening",Florida,"28.149500,-81.650398"
"Cuomo Rolls Out New Regulations for Nursing Homes: Live Updates - The New York Times",http://healthmap.org/ln.php?7320190,"2020-05-10 13:48:31","Elder Care","New York State","43.004601,-75.498100"
"Four local hospitals share another $65M in federal Covid-19 aid - Buffalo News",http://healthmap.org/ln.php?7320292,"2020-05-10 13:12:21","Healthcare Facility","Buffalo, New York","42.886448,-78.878372"
"COVID-19 hits close to home for Livonia mother-daughter nursing duo - WDIV ClickOnDetroit",http://healthmap.org/ln.php?7320429,"2020-05-09 23:23:45","Healthcare Facility, Healthcare Worker","Livonia, Michigan","42.368370,-83.352707"
"Pa. Health Dept. Reports 1,295 New Coronavirus Cases, Bringing Total To 56,611 - CBS Pittsburgh",http://healthmap.org/ln.php?7320630,"2020-05-10 12:13:53","Healthcare Worker, Elder Care",Pennsylvania,"40.930099,-77.475601"
"Utah data reveals how people catch COVID-19, how many are in the hospital and more - Salt Lake Tribune",http://healthmap.org/ln.php?7321089,"2020-05-10 09:59:31","Healthcare Facility",Utah,"39.266201,-111.752998"
"COVID-19 spread at Amazon Eagan warehouse scares workers - Minnesota Public Radio News",http://healthmap.org/ln.php?7321095,"2020-05-10 19:13:00","COVID-19 Case Clusters","Eagan, Minnesota","44.804131,-93.166885"
